#,Channel,Subscribers,Language,Beat,Uploads,Avg views/video,Started,Business email listed,URL
1,Business Kannada,40400,Kannada,Business,844,198698,2025-09-04,Yes,https://youtube.com/channel/UCg7PH6zbc6gHENX3W1Xjn8Q
2,Reporter Business,40000,Malayalam,Business,738,36529,2026-03-03,Yes,https://youtube.com/channel/UCXLRocZAVQ11gPQYYXi6OBw
3,AssetPlus,12000,Malayalam,Markets,422,15304,2018-10-13,Yes,https://youtube.com/channel/UCma5LooznQW-JZls0y6Ldpg
4,Startup News Daily,26400,Telugu,Business,650,33898,2025-01-08,Yes,https://youtube.com/channel/UCzzHPWph0apIEHG6hhC6fVA
5,Market Academy,14300,Tamil,Business,358,26596,2026-03-27,Yes,https://youtube.com/channel/UCRg2YSTC439yaDLyzf9PxHg
6,Telugu Business Talks,43900,Telugu,Business,330,27438,2024-03-18,Yes,https://youtube.com/channel/UCft1WGVjyTsdnUVWQCm7Erw
7,Updaties,22000,Malayalam,Business,308,15140,2022-12-03,Yes,https://youtube.com/channel/UCrBKSJpJ0JII2P8XDOMbfqA
8,Ganesh Gujarathi,34900,Gujarati,Markets,297,24126,2021-01-03,Yes,https://youtube.com/channel/UCcB-wWABWCOGCGNFrsw5qOg
9,"Prathap ""Telugu Trader""",34200,Telugu,Markets,297,48971,2021-02-23,Yes,https://youtube.com/channel/UCy9_AxRI9HXKIbZSlElkJbQ
10,SBNRI,25300,Malayalam,Markets,352,13929,2020-03-17,Yes,https://youtube.com/channel/UCDIvOwmgNZDIzXCcwJt8GSg
11,The Think Way,30600,Gujarati,Business,219,120343,2024-01-17,Yes,https://youtube.com/channel/UCBgBR5C6m_v-pUajoNQqe3A
12,EduCafia Malayalam,32500,Malayalam,Business,193,29668,2020-10-31,Yes,https://youtube.com/channel/UChwAtwcjKMe48T9u8XzxzlA
13,Grantha India ,42100,Gujarati,Business,189,963110,2025-05-06,Yes,https://youtube.com/channel/UCLvLuzA1YARpZZmfzJQnMgg
14,Nikhita Telugu Trading,24400,Telugu,Markets,177,15794,2025-01-29,Yes,https://youtube.com/channel/UC62QuPoBBcjNrNRC-ZqNPhw
15,Research Daddy - Telugu,29000,Telugu,Markets,172,256936,2025-02-06,Yes,https://youtube.com/channel/UCKEXuFtSzVbUZK60z2rzNhQ
16,Trade to Get Bangla,49900,Bengali,Markets,167,18774,2025-02-15,Yes,https://youtube.com/channel/UCWGMQ8WG8lYXpPMrlzUnxHQ
17,J J,10700,Malayalam,Markets,186,14705,2013-10-12,Yes,https://youtube.com/channel/UClyr9xaUyHDfJPpqUyHBbnQ
18,Business Lessons Hindi,31200,Hindi,Business,148,156980,2023-08-20,Yes,https://youtube.com/channel/UC1GchNuWnopmggTGXBgIMXQ
19,Siyad Mhd,24900,Malayalam,Business,142,136301,2024-11-23,Yes,https://youtube.com/channel/UCNgBsCCGdlULBcc5KTQmlrQ
20,Stock Investment Academy by Amar Bhatia Sir,47900,Hindi,Markets,134,16133,2023-10-12,Yes,https://youtube.com/channel/UCPtgdNLXi2QglhJBidB6QNw
21,Found Story,14200,Gujarati,Business,127,52470,2022-06-30,Yes,https://youtube.com/channel/UCgsixtXRX1t3cR7wuF_-L8g
22,Boss Wallah Bengali,20800,Bengali,Markets,117,21660,2026-05-05,Yes,https://youtube.com/channel/UCVIl3AcmRQII3zfNyFy4mvA
23,Simple Trader - Tamil,49400,Tamil,Markets,185,13755,2022-11-10,Yes,https://youtube.com/channel/UCalDJAdX2JmMkp5ETb7XYqA
24,Rjtalkstamil,12100,Tamil,Business,79,16426,2025-04-27,Yes,https://youtube.com/channel/UCTkVbg9mjGSquP3NmVdm78w
25,JK Crypto Clarity,11400,Tamil,Crypto,69,26699,2011-12-10,Yes,https://youtube.com/channel/UCsrMlOLmfX7XgWnzDpwywnw
26,Girish Stories,10800,Kannada,Markets,68,21523,2021-12-02,Yes,https://youtube.com/channel/UCeA5_4aDKo07FTBxKtOtmFg
27,Mast news kannada ,18400,Kannada,Business,68,40075,2024-09-03,Yes,https://youtube.com/channel/UCTmsEqjFadSl6V-eSA_MWHA
28,Finance Today Tamil,7420,Tamil,Markets,67,61916,2025-03-03,Yes,https://youtube.com/channel/UCN1SkSv2Vgz2TURAke5ALqA
29,Times News Marathi 24X7,19800,Marathi,Business,59,364332,2013-05-24,Yes,https://youtube.com/channel/UCIuGIAIe1aTBYe-8xhsh5cw
30,Telugu Business ideas24,12700,Telugu,Business,55,66496,2025-01-22,Yes,https://youtube.com/channel/UCn5YnBS1VliMfd03v8PZBfg
31,Nifty Analysis For Tomorrow,12700,Hindi,Markets,51,42748,2018-10-04,Yes,https://youtube.com/channel/UC_nGMCiXp0jH36symAp3z-w
32,Nataraj Malavade - Trading,28700,Kannada,Markets,38,29112,2018-07-02,Yes,https://youtube.com/channel/UCNedkX_RHBG2DfAriIo_IsQ
33,Tink Tamil,16100,Tamil,Business,52,14798,2018-06-30,Yes,https://youtube.com/channel/UC08yxUhDx9bkWEFESJszHRQ
34,News Company,14800,Bengali,Business,146,13441,2025-05-31,Yes,https://youtube.com/channel/UCaHlwJsyUKPQzUAM5hezcxg
35,Startup Guru,10800,Hindi,Business,17,20167,2019-10-10,Yes,https://youtube.com/channel/UCKdW_OQb79Ssda2ERfUZydw
36,Stock Market Simplified,29000,Malayalam,Markets,17,41488,2018-12-13,Yes,https://youtube.com/channel/UCUaLJV3SZ-LheLK5uP3ovVg
37,The Leader mindset,28600,Tamil,Business,129,13377,2025-07-26,Yes,https://youtube.com/channel/UCasZiXtbKU6DHX5lbX0PD_Q
38,Abhijeet Kalamkar - Ai Learners India ,20600,Hindi,Business,166,12120,2025-05-17,Yes,https://youtube.com/channel/UC_yxwbFIdFJZzZJ-vLo42rQ
39,Max Marathi,49000,Marathi,Business,768,8906,2023-07-09,Yes,https://youtube.com/channel/UCILuo37VXYLzWDRniW7I4ag
40,Tamil kaasu,21100,Tamil,Markets,149,11870,2021-04-21,Yes,https://youtube.com/channel/UCRWrlt7rspDLfAcA8S_EMmA
41,TG117 Hindi,38100,Hindi,Business,253,9592,2015-03-28,Yes,https://youtube.com/channel/UCW9fS654SCO4tXO2lG5x54g
42,Crypto World Telugu,20900,Telugu,Crypto,69,11587,2018-05-25,Yes,https://youtube.com/channel/UCiZJ0Wzdeee_YRqs7wpPzHw
43,Dhan Marathi,6120,Marathi,Markets,196,9919,2025-11-27,Yes,https://youtube.com/channel/UClB7jp7tFCNaLdY3dzRNciw
44,GOLDEN SHARE MARKET,21800,Hindi,Markets,91,11078,2019-07-10,Yes,https://youtube.com/channel/UCbibnPuqaeCubIMClFwV7Xw
45,Binoy Ghosh: Stock Market Educator ,47800,Bengali,Markets,1100,6454,2023-05-07,Yes,https://youtube.com/channel/UC2X4TQyMzi55rKZIWeC2kEw
46,Bharti Rathee,29100,Marathi,Markets,198,8604,2022-06-22,Yes,https://youtube.com/channel/UCZAuOkP848OvXq2296gVgvQ
47,GTV KANNADA NEWS,18700,Kannada,Business,596,5584,2013-01-02,Yes,https://youtube.com/channel/UC79AmkumD2ze_H0E3gI95mg
48,Tamil Crypto Tech,46000,Tamil,Crypto,528,5520,2019-01-14,Yes,https://youtube.com/channel/UCwj_Js5M9iV-wwN68R6X8Ng
49,Dilnawaz Warisi Hindi,40400,Hindi,Markets,247,7400,2024-02-17,Yes,https://youtube.com/channel/UCggZLbMQEDyLaiaRh4RM00A
50,Gujarati Creators,5470,Gujarati,Business,406,5288,2020-06-13,Yes,https://youtube.com/channel/UCrG2sy_tqVRJ-X4i9hHfp5g
51,Saumil Gupta,5430,English / mixed,Business,177,27229,2023-04-14,Yes,https://youtube.com/channel/UCHvvrppZJ0wrWmn1quXEuqw
52,Bengal Mirror News,14800,Bengali,Business,1500,5117,2019-11-14,Yes,https://youtube.com/channel/UCwTzcIXPeb6WPLsYGnPWLTQ
53,KB's Trading portal,10600,Kannada,Markets,46,8682,2022-12-19,Yes,https://youtube.com/channel/UCa2UIAGeJlK_LbxpteCjzkA
54,Crypto Knowledge Tamil,38400,Tamil,Crypto,647,4229,2017-06-08,Yes,https://youtube.com/channel/UCxPH_9TZEWJwCueIaT1pd3A
55,EV Kannada,16000,Kannada,Business,280,5664,2019-10-22,Yes,https://youtube.com/channel/UCJLHgVaorY7GYWA4BsSpc9Q
56,CRYPTO AWAAZ,14000,Hindi,Crypto,32,8737,2024-05-22,Yes,https://youtube.com/channel/UCC7uRYPJ2gBQux4q6MnHeGg
57,Crypto Pugal,29800,Tamil,Crypto,318,4854,2019-01-29,Yes,https://youtube.com/channel/UCk1ZZD4f6PxZz-SAvlRdfnw
58,Stock Market Tutorial with Avijit,13800,Bengali,Markets,479,3249,2020-05-08,Yes,https://youtube.com/channel/UC7PNCSdahe0IHL2ONHcxoAA
59,Crypto करो ! हिंदी ,28500,Hindi,Crypto,147,6238,2018-10-06,Yes,https://youtube.com/channel/UChnYnvSBbn_kob8yKV7XXkg
60,Crypto Future Of India,21200,English / mixed,Crypto,161,12951,2024-07-27,Yes,https://youtube.com/channel/UCne8cbJFhtdmFdXid7IaPlQ
61,Stock Market Kannada,7090,Kannada,Markets,26,7509,2017-08-15,Yes,https://youtube.com/channel/UC-84EuFL989IbPESq3pu3mA
62,The Crypto Byte,33700,Hindi,Crypto,1200,2707,2022-10-06,Yes,https://youtube.com/channel/UCwGyes8krErsw3ADyGplN1A
63,Share Market Marathi,29400,Marathi,Markets,215,4967,2022-02-06,Yes,https://youtube.com/channel/UCRPoTZFI1W7SXRN_qzhv5vQ
64,SS MANA TELUGU,22700,Telugu,Crypto,310,3730,2015-01-19,Yes,https://youtube.com/channel/UCanGn8uVz8SU6fvgn26hqmw
65,Crypto Gyan,33300,Hindi,Crypto,1000,2530,2021-08-31,Yes,https://youtube.com/channel/UCpjonr6yqFl9g_j4FK9Rv0g
66,Unocoin - Crypto Ka Super App,10000,Bengali,Crypto,1100,2507,2015-01-09,Yes,https://youtube.com/channel/UCxTztdOn_HjYhMGiT8su6Bg
67,kannada Tech Tuts,17500,Kannada,Crypto,134,5819,2016-03-31,Yes,https://youtube.com/channel/UCgOYq7w6GQ6F5mANLyA-yZw
68,Grow Crypto,35800,Bengali,Crypto,792,2055,2023-02-03,Yes,https://youtube.com/channel/UCrLcIz7Ux899Ri-bW9-hHLw
69,Rahul Kulkarni Mutual Funds,21900,Marathi,Markets,1200,2044,2013-09-16,Yes,https://youtube.com/channel/UCD-MElIj0wu2iikgbgQHg6Q
70,GUJARATI MELO,11300,Gujarati,Markets,581,1480,2024-02-28,Yes,https://youtube.com/channel/UCY9CDFzv6k_Xevz-FJXNL8A
71,Crypto GyaanTelugu,12400,Telugu,Crypto,366,1856,2022-04-20,Yes,https://youtube.com/channel/UCpBYNW6_q7PJBQoA_ZsBN2w
72,Mudrex,13800,Malayalam,Crypto,661,1251,2018-09-24,Yes,https://youtube.com/channel/UC3PN16bp92qeSn3kw0VpVEg
73,LEADER TRADING (GUJARATI) ®,18200,Gujarati,Markets,1000,639,2021-02-10,Yes,https://youtube.com/channel/UCTHWWHBbfUCFLohlnbO5JLg
74,Vrutt Marathi News,5420,Marathi,Business,2000,537,2015-01-13,Yes,https://youtube.com/channel/UCucMM10ekSrKfS0r6uj40sA
75,DSK _Talks,6350,Marathi,Business,84,4376,2025-11-17,Yes,https://youtube.com/channel/UC7lgmFMrPBWh8izW5XUVvOg
76,Crypto Kranti | क्रिप्टो क्रांती ,10000,Marathi,Crypto,294,1534,2021-10-05,Yes,https://youtube.com/channel/UCnm4ebRlWFSCD7zcT-TcO_Q
77,BNS Bengali বাংলা (Bitbns),7910,Bengali,Business,299,1065,2022-04-25,Yes,https://youtube.com/channel/UCaU5NyhCGN72N1OVwhYkOJQ
78,Prime Technical India,46600,English / mixed,Markets,291,7613,2020-10-07,Yes,https://youtube.com/channel/UCj3y31kRSq64CHoNDKFPW-Q
79,Career in Trading ,19100,English / mixed,Markets,140,9378,2022-07-18,Yes,https://youtube.com/channel/UCVjsPIGJa4yt-sQDTWT02gQ
80,MarketSmith India,18300,English / mixed,Markets,2400,6045,2016-04-21,Yes,https://youtube.com/channel/UCdR0Xje6vndwPn5PO9xKplg
81,Bong Crypto 2.0,7090,Bengali,Crypto,139,2300,2025-08-12,Yes,https://youtube.com/channel/UCdvVIoNocR40fYi0TKF1p7Q
82,InvestBuzz Bengali - ইনভেস্টবাজ বাংলা,9530,Bengali,Business,78,2910,2016-09-12,Yes,https://youtube.com/channel/UC6n6S4XFhfdXHh_jk3qVREw
83,SR Crypto News,28700,English / mixed,Crypto,1000,5879,2012-12-29,Yes,https://youtube.com/channel/UCeTMtWSnP0pUzpwDp-Qv-UA
84,Groww Gujarati,9750,Gujarati,Markets,241,846,2021-09-04,Yes,https://youtube.com/channel/UCGyoBU8dSPotvarhjdd758Q
85,CryptoBUCH,12200,Malayalam,Crypto,137,1720,2015-03-22,Yes,https://youtube.com/channel/UCfLO1EKqZnh3pnQFoNhUkZA
86,Smart Trades,16100,Marathi,Crypto,150,1531,2023-03-28,Yes,https://youtube.com/channel/UCaWk2DluIdSnmurbd0_xVfA
87,Crypto Barta,32500,Bengali,Crypto,117,1910,2013-12-02,Yes,https://youtube.com/channel/UC-w-iUpesxM1vMBTwKkhm9A
88,Rahul Jain- Business coaching India,42800,English / mixed,Business,1000,4757,2016-03-18,Yes,https://youtube.com/channel/UCUVY_WsSNRl3FWjFzEMMqDQ
